"Time (UTCG)","ax (km/sec^2)","ay (km/sec^2)","az (km/sec^2)"
1 Jan 2018 02:40:00.000,-0.00136755688,0.00035957558,0.00019523361
1 Jan 2018 02:42:00.000,-0.00141820676,0.00022061358,0.00011978340
1 Jan 2018 02:44:00.000,-0.00144428522,0.00007483776,0.00004063359
1 Jan 2018 02:46:00.000,-0.00144442235,-0.00007328991,-0.00003979317
1 Jan 2018 02:48:00.000,-0.00141861087,-0.00021911417,-0.00011896928
1 Jan 2018 02:50:00.000,-0.00136820698,-0.00035816908,-0.00019446994
1 Jan 2018 02:52:00.000,-0.00129577318,-0.00048653072,-0.00026416463
1 Jan 2018 02:54:00.000,-0.00120479462,-0.00060108713,-0.00032636368
1 Jan 2018 02:56:00.000,-0.00109932259,-0.00069969298,-0.00037990229
1 Jan 2018 02:58:00.000,-0.00098360584,-0.00078120180,-0.00042415797
1 Jan 2018 03:00:00.000,-0.00086176240,-0.00084539197,-0.00045901039
1 Jan 2018 03:02:00.000,-0.00073752688,-0.00089281768,-0.00048476045
1 Jan 2018 03:04:00.000,-0.00061408749,-0.00092462049,-0.00050202796
1 Jan 2018 03:06:00.000,-0.00049400933,-0.00094233420,-0.00051164573
1 Jan 2018 03:08:00.000,-0.00037922873,-0.00094770675,-0.00051456278
1 Jan 2018 03:10:00.000,-0.00027109847,-0.00094255310,-0.00051176458
1 Jan 2018 03:12:00.000,-0.00017046343,-0.00092864455,-0.00050421285
1 Jan 2018 03:14:00.000,-0.00007774997,-0.00090763313,-0.00049280458
1 Jan 2018 03:16:00.000,0.00000694385,-0.00088100647,-0.00047834748
1 Jan 2018 03:18:00.000,0.00008376481,-0.00085006656,-0.00046154848
1 Jan 2018 03:20:00.000,0.00015303241,-0.00081592594,-0.00044301164
1 Jan 2018 03:22:00.000,0.00021517958,-0.00077951557,-0.00042324242
1 Jan 2018 03:24:00.000,0.00027070578,-0.00074159970,-0.00040265579
1 Jan 2018 03:26:00.000,0.00032014158,-0.00070279434,-0.00038158619
1 Jan 2018 03:28:00.000,0.00036402265,-0.00066358679,-0.00036029823
1 Jan 2018 03:30:00.000,0.00040287166,-0.00062435483,-0.00033899701
1 Jan 2018 03:32:00.000,0.00043718627,-0.00058538442,-0.00031783781
1 Jan 2018 03:34:00.000,0.00046743165,-0.00054688563,-0.00029693467
1 Jan 2018 03:36:00.000,0.00049403650,-0.00050900644,-0.00027636795
1 Jan 2018 03:38:00.000,0.00051739152,-0.00047184460,-0.00025619071
1 Jan 2018 03:40:00.000,0.00053784944,-0.00043545757,-0.00023643417
1 Jan 2018 03:42:00.000,0.00055572626,-0.00039987078,-0.00021711212
1 Jan 2018 03:44:00.000,0.00057130313,-0.00036508439,-0.00019822465
1 Jan 2018 03:46:00.000,0.00058482859,-0.00033107882,-0.00017976113
1 Jan 2018 03:48:00.000,0.00059652092,-0.00029781914,-0.00016170260
1 Jan 2018 03:50:00.000,0.00060657061,-0.00026525867,-0.00014402371
1 Jan 2018 03:52:00.000,0.00061514258,-0.00023334176,-0.00012669424
1 Jan 2018 03:54:00.000,0.00062237834,-0.00020200599,-0.00010968030
1 Jan 2018 03:56:00.000,0.00062839792,-0.00017118391,-0.00009294528
1 Jan 2018 03:58:00.000,0.00063330154,-0.00014080438,-0.00007645054
1 Jan 2018 04:00:00.000,0.00063717108,-0.00011079355,-0.00006015599
1 Jan 2018 04:02:00.000,0.00064007130,-0.00008107569,-0.00004402051
1 Jan 2018 04:04:00.000,0.00064205082,-0.00005157374,-0.00002800225
1 Jan 2018 04:06:00.000,0.00064314287,-0.00002220979,-0.00001205893
1 Jan 2018 04:08:00.000,0.00064336580,0.00000709458,0.00000385204
1 Jan 2018 04:10:00.000,0.00064272333,0.00003641799,0.00001977336
1 Jan 2018 04:12:00.000,0.00064120469,0.00006583901,0.00003574766
1 Jan 2018 04:14:00.000,0.00063878438,0.00009543583,0.00005181743
1 Jan 2018 04:16:00.000,0.00063542178,0.00012528602,0.00006802476
1 Jan 2018 04:18:00.000,0.00063106057,0.00015546605,0.00008441118
1 Jan 2018 04:20:00.000,0.00062562784,0.00018605083,0.00010101736
1 Jan 2018 04:22:00.000,0.00061903298,0.00021711300,0.00011788274
1 Jan 2018 04:24:00.000,0.00061116639,0.00024872206,0.00013504506
1 Jan 2018 04:26:00.000,0.00060189785,0.00028094321,0.00015253972
1 Jan 2018 04:28:00.000,0.00059107478,0.00031383584,0.00017039896
1 Jan 2018 04:30:00.000,0.00057852014,0.00034745157,0.00018865081
1 Jan 2018 04:32:00.000,0.00056403029,0.00038183178,0.00020731774
1 Jan 2018 04:34:00.000,0.00054737258,0.00041700444,0.00022641494
1 Jan 2018 04:36:00.000,0.00052828299,0.00045298022,0.00024594819
1 Jan 2018 04:38:00.000,0.00050646375,0.00048974745,0.00026591117
1 Jan 2018 04:40:00.000,0.00048158126,0.00052726615,0.00028628216
1 Jan 2018 04:42:00.000,0.00045326451,0.00056546046,0.00030701998
1 Jan 2018 04:44:00.000,0.00042110432,0.00060420966,0.00032805908
1 Jan 2018 04:46:00.000,0.00038465399,0.00064333730,0.00034930366
1 Jan 2018 04:48:00.000,0.00034343194,0.00068259843,0.00037062071
1 Jan 2018 04:50:00.000,0.00029692722,0.00072166472,0.00039183197
1 Jan 2018 04:52:00.000,0.00024460902,0.00076010766,0.00041270479
1 Jan 2018 04:54:00.000,0.00018594143,0.00079738007,0.00043294205
1 Jan 2018 04:56:00.000,0.00012040516,0.00083279657,0.00045217164
1 Jan 2018 04:58:00.000,0.00004752788,0.00086551432,0.00046993593
1 Jan 2018 05:00:00.000,-0.00003307501,0.00089451595,0.00048568253
1 Jan 2018 05:02:00.000,-0.00012164759,0.00091859755,0.00049875778
1 Jan 2018 05:04:00.000,-0.00021822781,0.00093636584,0.00050840517
1 Jan 2018 05:06:00.000,-0.00032256961,0.00094624958,0.00051377160
1 Jan 2018 05:08:00.000,-0.00043405541,0.00094653161,0.00051392473
1 Jan 2018 05:10:00.000,-0.00055160501,0.00093540795,0.00050788508
1 Jan 2018 05:12:00.000,-0.00067359104,0.00091108000,0.00049467608
1 Jan 2018 05:14:00.000,-0.00079777567,0.00087188303,0.00047339386
1 Jan 2018 05:16:00.000,-0.00092128738,0.00081644945,0.00044329588
1 Jan 2018 05:18:00.000,-0.00104065870,0.00074389753,0.00040390340
1 Jan 2018 05:20:00.000,-0.00115194332,0.00065402686,0.00035510761
1 Jan 2018 05:22:00.000,-0.00125092314,0.00054749214,0.00029726398
1 Jan 2018 05:24:00.000,-0.00133340047,0.00042592030,0.00023125586
1 Jan 2018 05:26:00.000,-0.00139555154,0.00029193624,0.00015850845
