"Time (UTCG)","ax (km/sec^2)","ay (km/sec^2)","az (km/sec^2)"
1 Jan 2018 02:18:00.000,-0.00017099944,0.00092900282,0.00050437851
1 Jan 2018 02:20:00.000,-0.00027175200,0.00094291857,0.00051187928
1 Jan 2018 02:22:00.000,-0.00038002565,0.00094804451,0.00051459250
1 Jan 2018 02:24:00.000,-0.00049492400,0.00094258867,0.00051155226
1 Jan 2018 02:26:00.000,-0.00061510393,0.00092475178,0.00050181076
1 Jan 2018 02:28:00.000,-0.00073860185,0.00089275288,0.00048432465
1 Jan 2018 02:30:00.000,-0.00086273146,0.00084517289,0.00045830014
1 Jan 2018 02:32:00.000,-0.00098443390,0.00078086952,0.00042324312
1 Jan 2018 02:34:00.000,-0.00109989299,0.00069924398,0.00037880897
1 Jan 2018 02:36:00.000,-0.00120509311,0.00060075349,0.00032515663
1 Jan 2018 02:38:00.000,-0.00129610120,0.00048641147,0.00026290624
1 Jan 2018 02:40:00.000,-0.00136846986,0.00035801177,0.00019315095
1 Jan 2018 02:42:00.000,-0.00141898955,0.00021909351,0.00011767348
1 Jan 2018 02:44:00.000,-0.00144496975,0.00007298490,0.00003824668
1 Jan 2018 02:46:00.000,-0.00144420090,-0.00007524734,-0.00004225297
1 Jan 2018 02:48:00.000,-0.00141779974,-0.00022074247,-0.00012135276
1 Jan 2018 02:50:00.000,-0.00136709142,-0.00035955102,-0.00019671201
1 Jan 2018 02:52:00.000,-0.00129444450,-0.00048770476,-0.00026618271
1 Jan 2018 02:54:00.000,-0.00120333024,-0.00060207915,-0.00032815114
1 Jan 2018 02:56:00.000,-0.00109780619,-0.00070054240,-0.00038149070
1 Jan 2018 02:58:00.000,-0.00098208664,-0.00078196863,-0.00042558332
1 Jan 2018 03:00:00.000,-0.00086012890,-0.00084615984,-0.00046028804
1 Jan 2018 03:02:00.000,-0.00073564305,-0.00089343391,-0.00048580580
1 Jan 2018 03:04:00.000,-0.00061211180,-0.00092494743,-0.00050275055
1 Jan 2018 03:06:00.000,-0.00049214239,-0.00094244510,-0.00051208970
1 Jan 2018 03:08:00.000,-0.00037750729,-0.00094770075,-0.00051481015
1 Jan 2018 03:10:00.000,-0.00026950604,-0.00094247866,-0.00051186083
1 Jan 2018 03:12:00.000,-0.00016898532,-0.00092851701,-0.00050418273
1 Jan 2018 03:14:00.000,-0.00007638191,-0.00090746494,-0.00049267335
1 Jan 2018 03:16:00.000,0.00000821322,-0.00088081360,-0.00047813840
1 Jan 2018 03:18:00.000,0.00008495163,-0.00084986045,-0.00046127475
1 Jan 2018 03:20:00.000,0.00015415112,-0.00081571382,-0.00044267892
1 Jan 2018 03:22:00.000,0.00021624247,-0.00077930130,-0.00042285321
1 Jan 2018 03:24:00.000,0.00027172291,-0.00074138267,-0.00040221107
1 Jan 2018 03:26:00.000,0.00032111875,-0.00070257064,-0.00038108639
1 Jan 2018 03:28:00.000,0.00036496128,-0.00066335234,-0.00035974422
1 Jan 2018 03:30:00.000,0.00040377062,-0.00062410738,-0.00033839076
1 Jan 2018 03:32:00.000,0.00043804369,-0.00058512383,-0.00031718235
1 Jan 2018 03:34:00.000,0.00046824605,-0.00054661328,-0.00029623389
1 Jan 2018 03:36:00.000,0.00049480740,-0.00050872458,-0.00027562633
1 Jan 2018 03:38:00.000,0.00051811962,-0.00047155571,-0.00025541299
1 Jan 2018 03:40:00.000,0.00053853656,-0.00043516367,-0.00023562500
1 Jan 2018 03:42:00.000,0.00055637512,-0.00039957332,-0.00021627574
1 Jan 2018 03:44:00.000,0.00057191693,-0.00036478400,-0.00019736460
1 Jan 2018 03:46:00.000,0.00058541056,-0.00033077520,-0.00017888013
1 Jan 2018 03:48:00.000,0.00059707396,-0.00029751127,-0.00016080255
1 Jan 2018 03:50:00.000,0.00060709700,-0.00026494500,-0.00014310584
